,0
0,
1,
2,
3,
4,
5,
6,
7,
8,
9,
10,
11,
12,
13,
14,36.5685479198053
15,35.27214101461736
16,34.12202628514389
17,39.69688514509821
18,29.858086883298984
19,34.12087897619427
20,37.53459405140023
21,43.22023837540565
22,39.83659358180183
23,39.56468291289801
24,45.4784325603385
25,41.16375703619292
26,39.35601457233055
27,38.60008735824001
28,35.52131539601326
29,37.51107820274855
30,38.283541919700724
31,34.650111832825374
32,31.48078499652243
33,31.329910306999338
34,34.39074005100053
35,34.55773642403758
36,33.53418462447536
37,30.75327884618445
38,28.419493150527636
39,29.98061169350698
40,25.745734516352876
41,24.06686551218293
42,25.183558092225482
43,30.861074193437908
44,33.512372557213446
45,30.416740931647517
46,29.025150965794143
47,28.677208520910362
48,29.20213079807511
49,51.97403992433879
50,55.64230443280572
51,59.05470279111413
52,53.33232396984726
53,60.39224430502711
54,52.11141961258484
55,49.33622612466357
56,52.853220519551805
57,49.59131023679484
58,52.80658418832345
59,58.33083241100911
60,56.23719713924073
61,53.67158197728455
62,52.01181140311488
63,53.21692117547355
64,59.92158925730787
65,53.143376336506385
66,56.043943713947385
67,56.11689153372538
68,55.66066523656929
69,44.702026001741295
70,43.96361416110542
71,45.17366717093306
72,45.96673632285056
73,48.20228997274681
74,48.446350157675994
75,52.650911837969474
76,52.49592862988132
77,44.74432496213224
78,48.33715500355758
79,44.08451680724074
80,43.57045866963659
81,39.13809995635273
82,38.69951250320651
83,36.35660523787209
84,32.837309154992965
85,35.08462233574957
86,38.79817547108338
87,40.11954465673722
88,46.80086635325074
89,48.770866772739815
90,44.44811868303451
91,45.240904361694966
92,44.446609245938625
93,40.5411217876736
94,40.12749171680266
95,37.64568754706825
96,29.186685804760977
97,37.37558663393742
98,40.70023490840248
99,37.47572969073627
100,36.841729698038144
101,46.76304080198816
102,52.29002911970603
103,47.471147970861885
104,46.84263673517824
105,57.834341327851945
106,55.55784802011209
107,65.02002743650928
108,70.26833560875377
109,59.74500403712825
110,54.61180189897236
111,61.82755182402008
112,72.34187273836793
113,73.6739821382736
114,74.45393315645727
115,66.53221641928909
116,73.6521998317046
117,71.38430805292428
118,67.60613629458857
119,60.278937943766984
120,62.64953459529819
121,66.40339653638152
122,66.0390564956601
123,62.93035567888122
124,63.99499504246224
125,51.146125807349776
126,55.411168339018445
127,57.776686140793075
128,59.03722613116169
129,60.07898352731308
130,64.02479574369261
131,57.70375478166029
132,59.44857435450497
133,59.553897763341844
134,64.19993517295681
135,64.60470923411098
136,68.3792268606455
137,73.85304134897768
138,77.11776762852257
139,80.81312677275618
140,81.93913010189216
141,71.90343357829614
142,75.16333881136545
143,80.42892933593764
144,80.46135931041972
145,84.3349732447925
146,84.81303338203404
147,84.18003953113742
148,77.4886427466127
149,76.8141857030227
150,77.4311625957473
151,68.57031367190072
152,67.5472690598768
