,0,1,2,3,4,5,6,7,8,9,10,11
43,1604102400000,1.4316,1.5469,1.4316,1.5469,10429.32000000,1604188799999,15599.4814,82,4451.95000000,6639.3539,0
44,1604188800000,1.5707,1.6402,1.5274,1.5975,8848.17000000,1604275199999,14042.7502,53,5276.14000000,8470.0842,0
45,1604275200000,1.6310,1.6310,1.4728,1.4728,6194.49000000,1604361599999,9636.8919,58,1714.79000000,2628.0794,0
46,1604361600000,1.4793,1.4793,1.4127,1.4127,18456.79000000,1604447999999,26603.2600,71,4740.21000000,6863.0778,0
47,1604448000000,1.4063,1.4084,1.2738,1.3979,41524.24000000,1604534399999,56237.1172,107,21507.78000000,28988.3871,0
48,1604534400000,1.4001,1.4749,1.3015,1.4064,39413.10000000,1604620799999,56003.1006,129,4865.26000000,6869.8942,0
49,1604620800000,1.4039,1.9526,1.4039,1.9149,56104.70000000,1604707199999,95065.2125,331,19092.65000000,33134.2050,0
50,1604707200000,1.9156,2.4906,1.8376,2.0363,302265.91000000,1604793599999,644124.9660,1094,73517.48000000,156290.4397,0
51,1604793600000,1.9948,2.2741,1.9737,2.1593,94329.49000000,1604879999999,201288.7738,447,31529.53000000,67399.5767,0
52,1604880000000,2.1504,2.1943,1.9685,2.0000,75123.96000000,1604966399999,155906.4044,227,40314.09000000,83402.7276,0
53,1604966400000,2.0066,2.3202,2.0066,2.2721,44354.06000000,1605052799999,98861.9344,329,23267.58000000,52057.6074,0
54,1605052800000,2.2721,2.3021,1.9656,2.0067,37023.85000000,1605139199999,77939.7538,296,10798.87000000,23229.2704,0
55,1605139200000,1.9829,2.0554,1.8450,1.9056,48736.52000000,1605225599999,97565.5338,268,14857.71000000,29403.4601,0
56,1605225600000,1.9121,2.0525,1.9078,2.0371,17005.38000000,1605311999999,33878.9420,135,10852.59000000,21636.8495,0
57,1605312000000,2.0054,2.0284,1.8911,1.9214,32042.98000000,1605398399999,62619.4181,177,15288.53000000,29957.5746,0
58,1605398400000,1.9530,2.2204,1.9458,2.0400,152216.19000000,1605484799999,319681.0721,781,68346.58000000,143110.2302,0
59,1605484800000,2.0024,2.3705,1.9870,2.2689,56191.48000000,1605571199999,125939.1373,459,24010.24000000,53948.0544,0
60,1605571200000,2.2799,2.3318,2.1359,2.2013,34796.97000000,1605657599999,77852.9074,258,19314.45000000,43155.7360,0
61,1605657600000,2.2100,2.2217,2.0158,2.1177,64243.73000000,1605743999999,134353.7699,487,24278.58000000,51236.7692,0
62,1605744000000,2.1094,2.1810,2.0223,2.0634,22809.04000000,1605830399999,48069.2638,332,12978.01000000,27429.4302,0
63,1605830400000,2.0923,2.2340,2.0522,2.1054,15134.44000000,1605916799999,32009.0743,252,7537.40000000,15980.6627,0
64,1605916800000,2.1106,2.4998,2.0364,2.3652,59400.60000000,1606003199999,134669.2874,509,36634.90000000,83059.9097,0
65,1606003200000,2.4248,2.4269,2.0990,2.1505,47247.99000000,1606089599999,106139.9386,283,5366.00000000,11862.8362,0
66,1606089600000,2.1750,2.3500,2.1392,2.2668,64570.37000000,1606175999999,144645.8657,573,41069.80000000,91556.9057,0
67,1606176000000,2.3015,2.4507,2.1392,2.2697,49136.94000000,1606262399999,113208.5588,502,25887.43000000,59743.1291,0
68,1606262400000,2.2577,2.5227,2.1973,2.2564,19802.07000000,1606348799999,47125.6709,265,13228.64000000,31879.7325,0
69,1606348800000,2.2717,2.2900,1.7500,1.8840,45404.15000000,1606435199999,86789.8260,620,25502.43000000,47333.3227,0
